x,y,z
[0.76724716 1.17782246 2.6878123 ],[0.97158139 1.12996379 2.71541925],[0.73669763 2.13146338 0.98107821]
[0.76791192 1.17779809 2.6878293 ],[0.97240681 1.13004438 2.71619947],[0.73838332 2.13063555 0.98206752]
[0.76858117 1.1777697  2.68784582],[0.97323407 1.13012361 2.71697922],[0.74008357 2.12979299 0.98305699]
[0.76925497 1.17773724 2.68786187],[0.97406319 1.13020145 2.7177585 ],[0.74179854 2.12893555 0.98404664]
[0.76993336 1.17770067 2.68787743],[0.97489418 1.13027788 2.71853731],[0.74352841 2.12806304 0.98503645]
[0.77061641 1.17765992 2.68789253],[0.97572705 1.1303529  2.71931565],[0.74527335 2.12717529 0.98602643]
[0.77130416 1.17761494 2.68790714],[0.97656182 1.13042649 2.72009352],[0.74703355 2.12627211 0.98701658]
[0.77199666 1.17756568 2.68792128],[0.97739852 1.13049863 2.72087092],[0.7488092  2.12535331 0.98800689]
[0.77269399 1.17751208 2.68793494],[0.97823715 1.1305693  2.72164785],[0.75060049 2.1244187  0.98899738]
[0.77339619 1.17745408 2.68794812],[0.97907773 1.1306385  2.7224243 ],[0.75240761 2.12346809 0.98998803]
[0.77410334 1.17739162 2.68796082],[0.97992028 1.13070621 2.72320028],[0.75423078 2.12250127 0.99097885]
[0.77481548 1.17732465 2.68797304],[0.98076482 1.1307724  2.72397579],[0.75607019 2.12151804 0.99196984]
[0.77553268 1.17725309 2.68798478],[0.98161136 1.13083706 2.72475081],[0.75792606 2.12051818 0.992961  ]
[0.77625502 1.17717688 2.68799604],[0.98245993 1.13090017 2.72552536],[0.7597986  2.11950148 0.99395233]
[0.77698255 1.17709596 2.68800681],[0.98331054 1.13096172 2.72629944],[0.76168805 2.1184677  0.99494383]
[0.77771534 1.17701027 2.68801711],[0.98416322 1.13102169 2.72707303],[0.76359462 2.11741664 0.99593549]
[0.77845347 1.17691972 2.68802691],[0.98501797 1.13108005 2.72784615],[0.76551856 2.11634804 0.99692732]
[0.77919701 1.17682424 2.68803623],[0.98587483 1.13113679 2.72861878],[0.7674601  2.11526166 0.99791932]
[0.77994602 1.17672378 2.68804507],[0.98673382 1.13119188 2.72939094],[0.76941949 2.11415727 0.99891149]
[0.78070059 1.17661824 2.68805342],[0.98759494 1.13124532 2.73016261],[0.77139698 2.11303461 0.99990383]
[0.7814608  1.17650756 2.68806128],[0.98845824 1.13129707 2.7309338 ],[0.77339284 2.11189342 1.00089633]
[0.78222672 1.17639165 2.68806866],[0.98932372 1.13134711 2.7317045 ],[0.77540733 2.11073342 1.001889  ]
[0.78299843 1.17627043 2.68807555],[0.99019142 1.13139543 2.73247472],[0.77744072 2.10955436 1.00288184]
[0.78377603 1.17614382 2.68808194],[0.99106135 1.131442   2.73324445],[0.77949331 2.10835594 1.00387485]
[0.78455959 1.17601174 2.68808785],[0.99193355 1.13148679 2.7340137 ],[0.78156536 2.10713788 1.00486802]
[0.78534921 1.17587409 2.68809327],[0.99280802 1.13152979 2.73478246],[0.78365719 2.10589988 1.00586136]
[0.78614498 1.17573079 2.68809819],[0.99368481 1.13157097 2.73555073],[0.78576909 2.10464163 1.00685488]
[0.78694699 1.17558174 2.68810262],[0.99456393 1.1316103  2.73631851],[0.78790138 2.10336283 1.00784855]
[0.78775533 1.17542684 2.68810656],[0.99544542 1.13164776 2.7370858 ],[0.79005438 2.10206315 1.0088424 ]
[0.78857011 1.175266   2.68811   ],[0.99632929 1.13168333 2.73785259],[0.79222842 2.10074227 1.00983641]
[0.78939143 1.17509912 2.68811295],[0.99721558 1.13171696 2.7386189 ],[0.79442384 2.09939983 1.01083059]
[0.79021939 1.1749261  2.6881154 ],[0.99810432 1.13174865 2.73938471],[0.79664099 2.0980355  1.01182494]
[0.79105409 1.17474682 2.68811736],[0.99899553 1.13177836 2.74015002],[0.79888023 2.09664892 1.01281945]
[0.79189566 1.17456118 2.68811881],[0.99988924 1.13180606 2.74091484],[0.80114192 2.09523971 1.01381414]
[0.7927442  1.17436907 2.68811977],[1.00078549 1.13183172 2.74167916],[0.80342645 2.09380751 1.01480899]
[0.79359984 1.17417037 2.68812023],[1.00168431 1.13185532 2.74244298],[0.8057342  2.09235191 1.015804  ]
[0.79446268 1.17396495 2.68812019],[1.00258573 1.13187681 2.74320631],[0.80806558 2.09087251 1.01679919]
[0.79533286 1.1737527  2.68811964],[1.00348977 1.13189617 2.74396913],[0.81042099 2.08936892 1.01779454]
[0.79621049 1.1735335  2.6881186 ],[1.00439649 1.13191337 2.74473145],[0.81280087 2.08784069 1.01879006]
[0.79709572 1.17330721 2.68811705],[1.0053059  1.13192837 2.74549327],[0.81520564 2.0862874  1.01978574]
[0.79798868 1.17307369 2.68811499],[1.00621805 1.13194114 2.74625459],[0.81763577 2.08470859 1.02078159]
[0.7988895  1.17283282 2.68811243],[1.00713297 1.13195164 2.7470154 ],[0.82009169 2.08310381 1.02177761]
[0.79979833 1.17258444 2.68810936],[1.0080507  1.13195984 2.7477757 ],[0.82257391 2.08147258 1.0227738 ]
[0.80071531 1.17232842 2.68810579],[1.00897128 1.1319657  2.7485355 ],[0.82508289 2.07981441 1.02377015]
[0.8016406 1.1720646 2.6881017],[1.00989475 1.13196918 2.74929479],[0.82761915 2.0781288  1.02476667]
[0.80257435 1.17179283 2.68809711],[1.01082114 1.13197024 2.75005356],[0.83018321 2.07641523 1.02576335]
[0.80351672 1.17151295 2.68809201],[1.0117505  1.13196884 2.75081183],[0.83277559 2.07467317 1.02676021]
[0.80446787 1.1712248  2.68808639],[1.01268287 1.13196495 2.75156959],[0.83539684 2.07290207 1.02775723]
[0.80542797 1.17092821 2.68808027],[1.0136183  1.13195852 2.75232683],[0.83804752 2.07110136 1.02875441]
[0.8063972  1.17062301 2.68807362],[1.01455682 1.1319495  2.75308356],[0.84072823 2.06927048 1.02975176]
[0.80737574 1.17030902 2.68806647],[1.01549848 1.13193786 2.75383977],[0.84343954 2.06740881 1.03074928]
[0.80836376 1.16998605 2.6880588 ],[1.01644333 1.13192355 2.75459546],[0.84618208 2.06551576 1.03174696]
[0.80936147 1.16965392 2.68805061],[1.01739142 1.13190652 2.75535064],[0.84895647 2.06359069 1.03274481]
[0.81036904 1.16931244 2.6880419 ],[1.01834279 1.13188673 2.7561053 ],[0.85176336 2.06163295 1.03374283]
[0.81138669 1.1689614  2.68803267],[1.01929749 1.13186413 2.75685943],[0.85460342 2.05964188 1.03474101]
[0.81241462 1.16860061 2.68802292],[1.02025557 1.13183866 2.75761305],[0.85747732 2.05761679 1.03573936]
[0.81345303 1.16822986 2.68801265],[1.02121709 1.13181029 2.75836614],[0.86038577 2.055557   1.03673788]
[0.81450214 1.16784892 2.68800186],[1.02218209 1.13177896 2.7591187 ],[0.86332948 2.05346178 1.03773656]
[0.81556218 1.16745758 2.68799054],[1.02315063 1.13174462 2.75987074],[0.86630919 2.05133039 1.0387354 ]
[0.81663337 1.16705563 2.6879787 ],[1.02412276 1.13170721 2.76062225],[0.86932565 2.04916208 1.03973442]
[0.81771594 1.16664281 2.68796633],[1.02509854 1.13166669 2.76137323],[0.87237963 2.0469561  1.04073359]
