x,y,z
[0.76972498 2.4350655 ],[0.67980018 1.63477411],[0.9251451  2.51432949]
[0.76993873 2.43601274],[0.68041963 1.63524658],[0.92532877 2.51460821]
[0.77015182 2.43696063],[0.68103871 1.63571942],[0.92551181 2.51488756]
[0.77036425 2.43790919],[0.6816574  1.63619265],[0.92569422 2.51516755]
[0.77057601 2.43885842],[0.68227572 1.63666625],[0.92587599 2.51544816]
[0.77078711 2.4398083 ],[0.68289365 1.63714024],[0.92605714 2.51572941]
[0.77099755 2.44075885],[0.68351121 1.6376146 ],[0.92623766 2.51601129]
[0.77120734 2.44171005],[0.68412839 1.63808934],[0.92641754 2.51629379]
[0.77141646 2.44266192],[0.6847452  1.63856446],[0.9265968  2.51657693]
[0.77162492 2.44361445],[0.68536163 1.63903995],[0.92677544 2.51686069]
[0.77183273 2.44456764],[0.68597768 1.63951582],[0.92695345 2.51714508]
[0.77203988 2.44552148],[0.68659336 1.63999206],[0.92713083 2.51743009]
[0.77224637 2.44647598],[0.68720867 1.64046868],[0.92730759 2.51771573]
[0.7724522  2.44743114],[0.6878236  1.64094567],[0.92748372 2.518002  ]
[0.77265738 2.44838696],[0.68843816 1.64142303],[0.92765924 2.51828888]
[0.77286191 2.44934343],[0.68905234 1.64190077],[0.92783413 2.51857639]
[0.77306578 2.45030055],[0.68966616 1.64237888],[0.9280084  2.51886452]
[0.773269   2.45125833],[0.6902796  1.64285736],[0.92818205 2.51915327]
[0.77347156 2.45221677],[0.69089267 1.64333621],[0.92835508 2.51944264]
[0.77367347 2.45317585],[0.69150537 1.64381544],[0.9285275  2.51973263]
[0.77387473 2.45413559],[0.69211771 1.64429503],[0.92869929 2.52002324]
[0.77407534 2.45509598],[0.69272967 1.64477499],[0.92887047 2.52031447]
[0.7742753  2.45605703],[0.69334127 1.64525532],[0.92904104 2.52060631]
[0.77447461 2.45701872],[0.69395249 1.64573602],[0.92921099 2.52089876]
[0.77467327 2.45798106],[0.69456336 1.64621708],[0.92938033 2.52119184]
[0.77487129 2.45894405],[0.69517385 1.64669851],[0.92954905 2.52148552]
[0.77506865 2.45990769],[0.69578398 1.64718031],[0.92971716 2.52177982]
[0.77526537 2.46087197],[0.69639374 1.64766247],[0.92988466 2.52207473]
[0.77546144 2.46183691],[0.69700314 1.648145  ],[0.93005155 2.52237025]
[0.77565687 2.46280249],[0.69761218 1.64862789],[0.93021783 2.52266638]
[0.77585165 2.46376871],[0.69822085 1.64911115],[0.9303835  2.52296312]
[0.77604579 2.46473558],[0.69882916 1.64959477],[0.93054857 2.52326047]
[0.77623929 2.4657031 ],[0.6994371  1.65007875],[0.93071302 2.52355842]
[0.77643214 2.46667125],[0.70004469 1.65056309],[0.93087688 2.52385698]
[0.77662435 2.46764005],[0.70065191 1.65104779],[0.93104012 2.52415615]
[0.77681592 2.46860949],[0.70125878 1.65153286],[0.93120276 2.52445593]
[0.77700685 2.46957958],[0.70186528 1.65201828],[0.9313648 2.5247563]
[0.77719714 2.4705503 ],[0.70247142 1.65250407],[0.93152624 2.52505728]
[0.77738679 2.47152166],[0.70307721 1.65299021],[0.93168708 2.52535886]
